SB-AWI-2013S3  & NH & 2013-04-09 & 2013-06-13 &  0.05  &  1.26  & 4 & 0 & 3 \
SB-AWI-2013S3  & NH & 2013-04-09 & 2013-06-13 &  0.05  &  1.26  & 4 & 0 & 3 \
SB-AWI-2014S1  & NH & 2014-03-30 & 2014-07-20 &  nan   &  1.40  & 0 & 0 & 3 \
SB-AWI-2014S1  & NH & 2014-04-01 & 2015-12-16 &  0.36  &  3.21  & 4 & 0 & 3 \
SB-AWI-2014S1  & NH & 2014-08-29 & 2014-12-31 &  nan   &  2.91  & 0 & 0 & 3 \
SB-AWI-2014S2  & NH & 2014-09-28 & 2015-08-27 &  nan   &  nan   & 0 & 0 & 3 \
SB-AWI-2015S2  & NH & 2015-09-14 & 2016-04-19 &  0.13  &  1.50  & 4 & 0 & 3 \
SB-AWI-2015S2  & NH & 2015-03-01 & 2015-05-06 &  0.37  &  nan   & 4 & 0 & 3 \
SB-AWI-2015S2  & NH & 2015-04-20 & 2015-06-11 &  0.37  &  1.25  & 4 & 0 & 3 \
SB-AWI-2015S2  & NH & 2015-02-05 & 2015-02-21 &  0.32  &  0.90  & 4 & 0 & 3 \
SB-AWI-2015S2  & NH & 2015-04-23 & 2015-06-09 &  0.43  &  nan   & 4 & 0 & 3 \
SB-AWI-2015S2  & NH & 2015-04-21 & 2015-06-11 &  0.35  &  1.34  & 4 & 0 & 3 \
SB-AWI-2015S3  & NH & 2015-09-12 & 2016-02-14 &  0.14  &  nan   & 4 & 0 & 3 \
SB-AWI-2015S3  & NH & 2015-09-10 & 2016-04-28 &  0.06  &  1.38  & 4 & 0 & 3 \
SB-AWI-2015S3  & NH & 2015-09-07 & 2016-08-08 &  0.08  &  1.43  & 4 & 0 & 3 \
SB-AWI-2016S4  & NH & 2016-10-06 & 2017-06-05 &  0.06  &  1.16  & 4 & 0 & 3 \
SB-AWI-2016S4  & NH & 2016-09-22 & 2017-05-31 &  0.13  &  0.81  & 4 & 0 & 3 \
SB-AWI-2017S4  & NH & 2017-03-09 & 2017-05-02 &  0.05  &  0.30  & 4 & 0 & 3 \
SB-AWI-2017S5  & NH & 2017-04-18 & 2017-04-22 &  0.36  &  nan   & 4 & 0 & 3 \
SB-AWI-2017S5  & NH & 2017-06-07 & 2017-06-12 &  0.09  &  1.80  & 4 & 0 & 3 \
SB-AWI-2018S6  & NH & 2018-05-05 & 2018-05-21 &  0.23  &  nan   & 4 & 0 & 3 \
SB-AWI-2018S6  & NH & 2018-04-24 & 2019-04-01 &  0.13  &  1.90  & 4 & 0 & 3 \
